PRECINCT_CODE,SPLIT_CODE,JS_CODE,COUNTY_NAME,location_name,ra_address1,ra_city,ra_state,ra_zip,CONGRESSIONAL_DISTRICT_CODE,SENATORIAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,JUDICIAL_DISTRICT_CODE,APPELLATE_DISTRICT_CODE,MUNICIPAL_DISTRICT_CODE,COUNCILMANIC_DISTRICT_CODE,COMMISSIONER_DISTRICT_CODE,ORPHAN_DISTRICT_CODE,SCHOOL_DISTRICT_CODE,IS_SPLIT_HIDDEN,IS_POLLING_PLACE,IS_LOCATION_HIDDEN
2008,2008.3,11,FREDERICK,WAVERLEY ELEM SCHOOL A,201 WAVERLEY DR,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
2010,2010.1,11,FREDERICK,MONOCACY MIDDLE SCHOOL,8009 OPOSSUMTOWN PIKE,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
2010,2010.2,11,FREDERICK,MONOCACY MIDDLE SCHOOL,8009 OPOSSUMTOWN PIKE,FREDERICK,MD,21702,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
2011,2011.1,11,FREDERICK,NORTH FREDERICK ELEM SCHOOL,1010 FAIRVIEW AVE,FREDERICK,MD,21701,6,3,3,6,3,FRE,4,NULL,NULL,NULL,0,1,0
2013,2013.1,11,FREDERICK,WAVERLEY ELEM SCHOOL B,201 WAVERLY DR,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
2014,2014.1,11,FREDERICK,BALLENGER CREEK ELEM SCHOOL,5250 KINGSBROOK DR,FREDERICK,MD,21703,6,3,3,6,3,NULL,4,NULL,NULL,NULL,0,1,0
2015,2015.1,11,FREDERICK,MONOCACY ELEM SCHOOL,7421 HAYWARD RD,FREDERICK,MD,21702,6,3,3,6,3,FRE,4,NULL,NULL,NULL,0,1,0
2015,2015.2,11,FREDERICK,MONOCACY ELEM SCHOOL,7421 HAYWARD RD,FREDERICK,MD,21702,6,3,3,6,3,NULL,4,NULL,NULL,NULL,0,1,0
2016,2016.1,11,FREDERICK,CRESTWOOD MIDDLE SCHOOL,7100 FOXCROFT DR,FREDERICK,MD,21703,6,3,3,6,3,NULL,4,NULL,NULL,NULL,0,1,0
2017,2017.1,11,FREDERICK,WAVERLEY ELEM SCHOOL B,201 WAVERLY DR,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
2018,2018.1,11,FREDERICK,GOVERNOR THOMAS JOHNSON MIDDLE SCHOOL B,1799 SCHIFFERSTADT BLVD,FREDERICK,MD,21701,6,3,3,6,3,FRE,4,NULL,NULL,NULL,0,1,0
3001,3001.1,11,FREDERICK,MIDDLETOWN MIDDLE SCHOOL,100 MARTHA MASON STREET,MIDDLETOWN,MD,21769,6,4,4,6,3,MID,1,NULL,NULL,NULL,0,1,0
3001,3001.2,11,FREDERICK,MIDDLETOWN MIDDLE SCHOOL,100 MARTHA MASON STREET,MIDDLETOWN,MD,21769,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
3002,3002.1,11,FREDERICK,MIDDLETOWN ELEM SCHOOL,201 EAST GREEN ST,MIDDLETOWN,MD,21769,6,4,4,6,3,MID,1,NULL,NULL,NULL,0,1,0
3002,3002.2,11,FREDERICK,MIDDLETOWN ELEM SCHOOL,201 EAST GREEN ST,MIDDLETOWN,MD,21769,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
3003,3003.1,11,FREDERICK,MIDDLETOWN PRIMARY SCHOOL,403 FRANKLIN ST,MIDDLETOWN,MD,21769,6,4,4,6,3,MID,1,NULL,NULL,NULL,0,1,0
3003,3003.2,11,FREDERICK,MIDDLETOWN PRIMARY SCHOOL,403 FRANKLIN ST,MIDDLETOWN,MD,21769,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
4001,4001.1,11,FREDERICK,CREAGERSTOWN LUTHERAN PARISH,8619 BLACKS MILL RD,THURMONT,MD,21788,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
5001,5001.1,11,FREDERICK,EMMITSBURG ELEM SCHOOL,300 SOUTH SETON AVE,EMMITSBURG,MD,21727,6,2,02A,6,3,EMM,5,NULL,NULL,NULL,0,1,0
5001,5001.2,11,FREDERICK,EMMITSBURG ELEM SCHOOL,300 SOUTH SETON AVE,EMMITSBURG,MD,21727,6,2,02A,6,3,NULL,5,NULL,NULL,NULL,0,1,0
5002,5002.1,11,FREDERICK,EMMITSBURG ELEM SCHOOL,300 SOUTH SETON AVE,EMMITSBURG,MD,21727,6,4,4,6,3,EMM,5,NULL,NULL,NULL,0,1,0
6001,6001.1,11,FREDERICK,WOLFSVILLE ELEM SCHOOL,12520 WOLFSVILLE RD,MYERSVILLE,MD,21773,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
7001,7001.1,11,FREDERICK,SUGARLOAF ELEMENTARY SCHOOL,3400 STONE BARN DRIVE,FREDERICK,MD,21704,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
7002,7002.1,11,FREDERICK,CENTERVILLE ELEM SCHOOL,3601 CARRIAGE HILL DR,FREDERICK,MD,21704,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
7003,7003.1,11,FREDERICK,URBANA HIGH SCHOOL A,3471 CAMPUS DR,IJAMSVILLE,MD,21754,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
7004,7004.1,11,FREDERICK,URBANA REGIONAL LIBRARY,9020 AMELUNG ST,FREDERICK,MD,21704,6,3,3,6,3,NULL,2,NULL,NULL,NULL,0,1,0
7005,7005.1,11,FREDERICK,URBANA HIGH SCHOOL B,3471 CAMPUS DRIVE,IHMASVILLE,MD,21754,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
7007,7007.1,11,FREDERICK,URBANA REGIONAL LIBRARY,9020 AMELUNG ST,FREDERICK,MD,21704,6,3,3,6,3,NULL,1,NULL,NULL,NULL,0,1,0
8001,8001.1,11,FREDERICK,LIBERTY ELEM SCHOOL,11820 LIBERTY RD,FREDERICK,MD,21701,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
9001,9001.1,11,FREDERICK,NEW MARKET MIDDLE SCHOOL,125 WEST MAIN ST,NEW MARKET,MD,21774,6,4,4,6,3,NMA,2,NULL,NULL,NULL,0,1,0
9001,9001.2,11,FREDERICK,NEW MARKET MIDDLE SCHOOL,125 WEST MAIN ST,NEW MARKET,MD,21774,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
9002,9002.1,11,FREDERICK,GREEN VALLEY ELEM SCHOOL,11501 FINGERBOARD RD,MONROVIA,MD,21770,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
9003,9003.1,11,FREDERICK,OAKDALE MIDDLE SCHOOL,5810 OAKDALE SCHOOL ROAD,IJAMSVILLE,MD,21754,6,3,3,6,3,NULL,2,NULL,NULL,NULL,0,1,0
9004,9004.1,11,FREDERICK,KEMPTOWN ELEM SCHOOL,3456 KEMPTOWN CHURCH RD,MONROVIA,MD,21770,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
9005,9005.2,11,FREDERICK,LINGANORE HIGH SCHOOL,12013 OLD ANNAPOLIS ROAD,FREDERICK,MD,21701,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
9006,9006.1,11,FREDERICK,OAKDALE ELEMENTARY SCHOOL,5830 OAKDALE SCHOOL ROAD,IJAMSVILLE,MD,21754,6,3,3,6,3,NULL,4,NULL,NULL,NULL,0,1,0
9007,9007.1,11,FREDERICK,DEER CROSSING ELEM SCHOOL,10601 FINN DR,NEW MARKET,MD,21774,6,4,4,6,3,NMA,2,NULL,NULL,NULL,0,1,0
9007,9007.2,11,FREDERICK,DEER CROSSING ELEM SCHOOL,10601 FINN DR,NEW MARKET,MD,21774,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
9008,9008.1,11,FREDERICK,SPRING RIDGE ELEM SCHOOL,9051 RIDGEFIELD DR,FREDERICK,MD,21701,6,3,3,6,3,NULL,4,NULL,NULL,NULL,0,1,0
9009,9009.1,11,FREDERICK,OAKDALE MIDDLE SCHOOL,5810 OAKDALE SCHOOL ROAD,IJAMSVILLE,MD,21754,6,3,3,6,3,NULL,2,NULL,NULL,NULL,0,1,0
10001,10001.1,11,FREDERICK,SABILLASVILLE ELEM SCH,16210B SABILLASVILLE RD,SABILLASVILLE,MD,21780,6,2,02A,6,3,NULL,5,NULL,NULL,NULL,0,1,0
10002,10002.1,11,FREDERICK,SABILLASVILLE ELEM SCH,16210B SABILLASVILLE RD,SABILLASVILLE,MD,21780,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
11001,11001.1,11,FREDERICK,WOODSBORO ELEMENTARY SCHOOL,101 LIBERTY ROAD,WOODSBORO,MD,21798,6,4,4,6,3,WOO,5,NULL,NULL,NULL,0,1,0
11001,11001.2,11,FREDERICK,WOODSBORO ELEMENTARY SCHOOL,101 LIBERTY ROAD,WOODSBORO,MD,21798,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
12001,12001.1,11,FREDERICK,FAITH BAPTIST CHURCH,2212 JEFFERSON PIKE,KNOXVILLE,MD,21758,6,4,4,6,3,ROS,1,NULL,NULL,NULL,0,1,0
12001,12001.2,11,FREDERICK,FAITH BAPTIST CHURCH,2212 JEFFERSON PIKE,KNOXVILLE,MD,21758,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
12001,12001.3,11,FREDERICK,FAITH BAPTIST CHURCH,2212 JEFFERSON PIKE,KNOXVILLE,MD,21758,6,4,4,6,3,BRU,1,NULL,NULL,NULL,0,1,0
12002,12002.1,11,FREDERICK,FAITH BAPTIST CHURCH,2212 JEFFERSON PIKE,KNOXVILLE,MD,21758,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
13001,13001.1,11,FREDERICK,MT PLEASANT RURITAN CLUB,8101 CRUM RD,WALKERSVILLE,MD,21793,6,4,4,6,3,NULL,4,NULL,NULL,NULL,0,1,0
13002,13002.2,11,FREDERICK,MT PLEASANT RURITAN CLUB,8101 CRUM RD,WALKERSVILLE,MD,21793,6,4,4,6,3,NULL,4,NULL,NULL,NULL,0,1,0
13003,13003.1,11,FREDERICK,MT PLEASANT RURITAN CLUB,8101 CRUM RD,WALKERSVILLE,MD,21793,6,3,3,6,3,FRE,4,NULL,NULL,NULL,0,1,0
13003,13003.2,11,FREDERICK,MT PLEASANT RURITAN CLUB,8101 CRUM RD,WALKERSVILLE,MD,21793,6,3,3,6,3,NULL,4,NULL,NULL,NULL,0,1,0
14001,14001.1,11,FREDERICK,JEFFERSON RURITAN COMM CTR,4603B LANDER RD,JEFFERSON,MD,21755,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
14002,14002.1,11,FREDERICK,VALLEY ELEMENTARY SCHOOL,3519 JEFFERSON PIKE,JEFFERSON,MD,21755,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
15001,15001.2,11,FREDERICK,THURMONT MIDDLE SCHOOL,408 EAST MAIN ST,THURMONT,MD,21788,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
15002,15002.1,11,FREDERICK,THURMONT PRIMARY SCHOOL,7989 ROCKY RIDGE RD,THURMONT,MD,21788,6,2,02A,6,3,THU,5,NULL,NULL,NULL,0,1,0
15002,15002.2,11,FREDERICK,THURMONT PRIMARY SCHOOL,7989 ROCKY RIDGE RD,THURMONT,MD,21788,6,2,02A,6,3,NULL,5,NULL,NULL,NULL,0,1,0
15003,15003.1,11,FREDERICK,THURMONT PRIMARY SCHOOL,7989 ROCKY RIDGE RD,THURMONT,MD,21788,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
16001,16001.1,11,FREDERICK,MYERSVILLE ELEM SCHOOL,429 MAIN STREET,MYERSVILLE,MD,21773,6,4,4,6,3,MYE,5,NULL,NULL,NULL,0,1,0
16001,16001.2,11,FREDERICK,MYERSVILLE ELEM SCHOOL,429 MAIN STREET,MYERSVILLE,MD,21773,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
17001,17001.1,11,FREDERICK,JOHNSVILLE METHODIST HALL,11106 GREEN VALLEY RD,UNION BRIDGE,MD,21791,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
18001,18001.1,11,FREDERICK,TWIN RIDGE ELEM SCHOOL,1106 LEAFY HOLLOW CIR,MT AIRY,MD,21771,6,5,5,6,3,MTA,2,NULL,NULL,NULL,0,1,0
18002,18002.1,11,FREDERICK,DAMASCUS RD COMMUNITY CHURCH A,12826 OLD NATIONAL PIKE,MT AIRY,MD,21771,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
18003,18003.1,11,FREDERICK,DAMASCUS RD COMMUNITY CHURCH B,12826 OLD NATIONAL PIKE,MT AIRY,MD,21771,6,4,4,6,3,NULL,2,NULL,NULL,NULL,0,1,0
19001,19001.1,11,FREDERICK,LINGANORE GRANGE HALL,13629 UNIONVILLE RD,MT AIRY,MD,21771,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
20001,20001.2,11,FREDERICK,LEWISTOWN ELEM SCHOOL,11119 HESSONG BRIDGE RD,THURMONT,MD,21788,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
21001,21001.2,11,FREDERICK,BROOK HILL UNITED METHODIST CHURCH,8946 INDIAN SPRINGS RD,FREDERICK,MD,21702,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
21002,21002.1,11,FREDERICK,WHITTIER ELEM SCHOOL,2400 WHITTIER DR,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
21002,21002.2,11,FREDERICK,WHITTIER ELEM SCHOOL,2400 WHITTIER DR,FREDERICK,MD,21702,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
21002,21002.3,11,FREDERICK,WHITTIER ELEM SCHOOL,2400 WHITTIER DR,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
21003,21003.1,11,FREDERICK,YELLOW SPRINGS ELEM SCH,8717 YELLOW SPRINGS RD,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
21003,21003.2,11,FREDERICK,YELLOW SPRINGS ELEM SCH,8717 YELLOW SPRINGS RD,FREDERICK,MD,21702,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
21004,21004.1,11,FREDERICK,YELLOW SPRINGS ELEM SCH,8717 YELLOW SPRINGS RD,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
21004,21004.2,11,FREDERICK,YELLOW SPRINGS ELEM SCH,8717 YELLOW SPRINGS RD,FREDERICK,MD,21702,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
21004,21004.3,11,FREDERICK,YELLOW SPRINGS ELEM SCH,8717 YELLOW SPRINGS RD,FREDERICK,MD,21702,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
21007,21007.1,11,FREDERICK,BROOK HILL UNITED METHODIST CHURCH,8946 INDIAN SPRINGS RD,FREDERICK,MD,21702,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
21008,21008.2,11,FREDERICK,WHITTIER ELEM SCHOOL,2400 WHITTIER DR,FREDERICK,MD,21702,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
21009,21009.1,11,FREDERICK,BROOK HILL UNITED METHODIST CHURCH,8946 INDIAN SPRINGS RD,FREDERICK,MD,21702,6,3,3,6,3,NULL,5,NULL,NULL,NULL,0,1,0
22001,22001.1,11,FREDERICK,BURKITTSVILLE COMM CNTR,500 EAST MAIN ST,BURKITTSVILLE,MD,21718,6,4,4,6,3,BUR,1,NULL,NULL,NULL,0,1,0
22001,22001.2,11,FREDERICK,BURKITTSVILLE COMM CNTR,500 EAST MAIN ST,BURKITTSVILLE,MD,21718,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
22002,22002.1,11,FREDERICK,BURKITTSVILLE COMM CNTR,500 EAST MAIN ST,BURKITTSVILLE,MD,21718,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
23001,23001.2,11,FREDERICK,ORCHARD GROVE ELEM SCHOOL,5898 HANNOVER DR,FREDERICK,MD,21703,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
23002,23002.1,11,FREDERICK,ORCHARD GROVE ELEM SCHOOL,5898 HANNOVER DR,FREDERICK,MD,21703,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
23002,23002.2,11,FREDERICK,ORCHARD GROVE ELEM SCHOOL,5898 HANNOVER DR,FREDERICK,MD,21703,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
23005,23005.1,11,FREDERICK,ORCHARD GROVE ELEM SCHOOL,5898 HANNOVER DR,FREDERICK,MD,21703,6,3,3,6,3,NULL,1,NULL,NULL,NULL,0,1,0
24001,24001.1,11,FREDERICK,CHURCH OF THE TRANSFIGURATION,6909 MARYLAND AVENUE,BRADDOCK HEIGHTS,MD,21714,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
24002,24002.1,11,FREDERICK,PEOPLE'S BAPTIST CHURCH,6648 CARPENTER ROAD,FREDERICK,MD,21703,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
24002,24002.2,11,FREDERICK,PEOPLE'S BAPTIST CHURCH,6648 CARPENTER ROAD,FREDERICK,MD,21703,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
24002,24002.3,11,FREDERICK,PEOPLE'S BAPTIST CHURCH,6648 CARPENTER ROAD,FREDERICK,MD,21703,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
24003,24003.1,11,FREDERICK,BRADDOCK HEIGHTS COMMUNITY CENTER,4830 SCHLEY AVENUE,BRADDOCK HEIGHTS,MD,21714,6,4,4,6,3,NULL,1,NULL,NULL,NULL,0,1,0
24004,24004.1,11,FREDERICK,PEOPLE'S BAPTIST CHURCH,6648 CARPENTER ROAD,FREDERICK,MD,21703,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
24005,24005.1,11,FREDERICK,PEOPLE'S BAPTIST CHURCH,6648 CARPENTER ROAD,FREDERICK,MD,21703,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
24005,24005.2,11,FREDERICK,PEOPLE'S BAPTIST CHURCH,6648 CARPENTER ROAD,FREDERICK,MD,21703,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
24005,24005.3,11,FREDERICK,PEOPLE'S BAPTIST CHURCH,6648 CARPENTER ROAD,FREDERICK,MD,21703,6,3,3,6,3,FRE,3,NULL,NULL,NULL,0,1,0
24006,24006.1,11,FREDERICK,PEOPLE'S BAPTIST CHURCH,6648 CARPENTER ROAD,FREDERICK,MD,21703,6,3,3,6,3,NULL,3,NULL,NULL,NULL,0,1,0
25001,25001.1,11,FREDERICK,BRUNSWICK MIDDLE SCHOOL,301 CUMMINGS DR,BRUNSWICK,MD,21716,6,4,4,6,3,BRU,1,NULL,NULL,NULL,0,1,0
26001,26001.1,11,FREDERICK,WALKERSVILLE MIDDLE SCHOOL,55 WEST FREDERICK ST,WALKERSVILLE,MD,21793,6,4,4,6,3,WAL,5,NULL,NULL,NULL,0,1,0
26001,26001.2,11,FREDERICK,WALKERSVILLE MIDDLE SCHOOL,55 WEST FREDERICK ST,WALKERSVILLE,MD,21793,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
26002,26002.1,11,FREDERICK,WALKERSVILLE HIGH SCHOOL,81 WEST FREDERICK ST,WALKERSVILLE,MD,21793,6,4,4,6,3,WAL,5,NULL,NULL,NULL,0,1,0
26002,26002.2,11,FREDERICK,WALKERSVILLE HIGH SCHOOL,81 WEST FREDERICK ST,WALKERSVILLE,MD,21793,6,4,4,6,3,NULL,5,NULL,NULL,NULL,0,1,0
