SUMLEV,GEOCODE,GEOID,NAME,BASENAME,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,TOTAL_POP,POP_ONE_RACE,POP_WHITE,POP_BLACK,POP_NATIVE,POP_ASIAN,POP_PACIFIC,POP_OTHER_RACE,POP_TWO_MORE_RACES,POP_TWO_RACES,POP_WHITE_BLACK,POP_WHITE_NATIVE,POP_WHITE_ASIAN,POP_WHITE_PACIFIC,POP_WHITE_OTHER,POP_BLACK_NATIVE,POP_BLACK_ASIAN,POP_BLACK_PACIFIC,POP_BLACK_OTHER,POP_NATIVE_ASIAN,POP_NATIVE_PACIFIC,POP_NATIVE_OTHER,POP_ASIAN_PACIFIC,POP_ASIAN_OTHER,POP_PACIFIC_OTHER,POP_THREE_RACES
700,2400110-000,7000000US2400110-000,Allegany Precinct 10-000,Allegany Precinct 10-000,PLST,MD,0,1,24552,1868,1815,1802,6,4,0,0,3,53,51,4,23,2,0,19,0,0,2,0,0,0,0,0,1,0,1
700,2400111-000,7000000US2400111-000,Allegany Precinct 11-000,Allegany Precinct 11-000,PLST,MD,0,1,24553,1138,1105,1045,18,2,31,4,5,33,31,8,5,6,0,12,0,0,0,0,0,0,0,0,0,0,0
700,2400112-000,7000000US2400112-000,Allegany Precinct 12-000,Allegany Precinct 12-000,PLST,MD,0,1,24554,2981,2829,2649,91,6,60,0,23,152,141,25,58,20,0,33,3,0,0,2,0,0,0,0,0,0,11
700,2400113-000,7000000US2400113-000,Allegany Precinct 13-000,Allegany Precinct 13-000,PLST,MD,0,1,24555,2082,2018,1994,15,0,6,0,3,64,61,16,37,2,1,5,0,0,0,0,0,0,0,0,0,0,2
700,2400114-000,7000000US2400114-000,Allegany Precinct 14-000,Allegany Precinct 14-000,PLST,MD,0,1,24556,762,706,617,68,4,12,0,5,56,54,14,17,5,0,12,4,0,0,1,0,0,1,0,0,0,2
700,2400116-000,7000000US2400116-000,Allegany Precinct 16-000,Allegany Precinct 16-000,PLST,MD,0,1,24557,3199,3120,2194,886,9,26,1,4,79,74,26,30,3,0,15,0,0,0,0,0,0,0,0,0,0,5
700,2400118-000,7000000US2400118-000,Allegany Precinct 18-000,Allegany Precinct 18-000,PLST,MD,0,1,24558,2054,1973,1955,0,6,10,1,1,81,76,10,41,5,0,18,0,0,1,0,0,0,0,0,1,0,5
700,2400120-000,7000000US2400120-000,Allegany Precinct 20-000,Allegany Precinct 20-000,PLST,MD,0,1,24559,1896,1828,1811,9,0,4,0,4,68,63,8,29,4,0,18,0,0,0,1,0,0,0,1,2,0,5
700,2400121-000,7000000US2400121-000,Allegany Precinct 21-000,Allegany Precinct 21-000,PLST,MD,0,1,24560,1121,1095,1077,6,1,4,1,6,26,24,6,11,1,0,5,0,0,0,0,1,0,0,0,0,0,2
700,2400122-001,7000000US2400122-001,Allegany Precinct 22-001,Allegany Precinct 22-001,PLST,MD,0,1,24561,2348,2215,1972,188,4,35,0,16,133,118,39,44,6,1,22,0,2,0,4,0,0,0,0,0,0,15
700,2400122-002,7000000US2400122-002,Allegany Precinct 22-002,Allegany Precinct 22-002,PLST,MD,0,1,24562,119,114,112,2,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
700,2400123-000,7000000US2400123-000,Allegany Precinct 23-000,Allegany Precinct 23-000,PLST,MD,0,1,24563,2734,2495,2228,185,16,29,1,36,239,222,125,47,7,2,34,3,0,0,3,0,0,0,1,0,0,16
700,2400124-000,7000000US2400124-000,Allegany Precinct 24-000,Allegany Precinct 24-000,PLST,MD,0,1,24564,1764,1723,1690,14,2,15,0,2,41,36,4,17,4,0,10,0,0,0,1,0,0,0,0,0,0,5
700,2400126-000,7000000US2400126-000,Allegany Precinct 26-000,Allegany Precinct 26-000,PLST,MD,0,1,24565,3909,3743,2940,594,15,128,0,66,166,161,60,28,21,0,43,2,2,1,1,0,0,0,0,1,2,4
700,2400129-001,7000000US2400129-001,Allegany Precinct 29-001,Allegany Precinct 29-001,PLST,MD,0,1,24566,2240,2149,2074,36,2,30,4,3,91,89,13,27,10,0,35,1,0,1,2,0,0,0,0,0,0,2
700,2400129-002,7000000US2400129-002,Allegany Precinct 29-002,Allegany Precinct 29-002,PLST,MD,0,1,24567,1968,1870,1795,22,0,50,1,2,98,93,22,37,2,1,27,2,0,0,2,0,0,0,0,0,0,5
700,2400129-003,7000000US2400129-003,Allegany Precinct 29-003,Allegany Precinct 29-003,PLST,MD,0,1,24568,1521,1468,1398,25,0,33,2,10,53,51,10,27,3,1,5,1,0,2,2,0,0,0,0,0,0,2
700,2400131-000,7000000US2400131-000,Allegany Precinct 31-000,Allegany Precinct 31-000,PLST,MD,0,1,24569,1603,1527,1506,5,0,7,0,9,76,73,7,44,2,0,20,0,0,0,0,0,0,0,0,0,0,2
700,2400134-000,7000000US2400134-000,Allegany Precinct 34-000,Allegany Precinct 34-000,PLST,MD,0,1,24570,1582,1535,1509,13,2,6,0,5,47,46,20,20,3,0,3,0,0,0,0,0,0,0,0,0,0,1
700,2400301-001,7000000US2400301-001,ANNE ARUNDEL PRECINCT 01-001,ANNE ARUNDEL PRECINCT 01-001,PLST,MD,0,1,24571,2422,2287,1831,192,17,185,7,55,135,126,14,35,27,3,43,2,0,0,0,0,0,2,0,0,0,9
700,2400301-002,7000000US2400301-002,ANNE ARUNDEL PRECINCT 01-002,ANNE ARUNDEL PRECINCT 01-002,PLST,MD,0,1,24572,2512,2355,1983,165,17,148,5,37,157,147,13,35,25,0,69,2,0,0,3,0,0,0,0,0,0,10
700,2400301-003,7000000US2400301-003,ANNE ARUNDEL PRECINCT 01-003,ANNE ARUNDEL PRECINCT 01-003,PLST,MD,0,1,24573,3154,2877,2089,389,24,130,2,243,277,255,31,46,28,0,109,15,6,0,4,0,0,16,0,0,0,21
700,2400301-004,7000000US2400301-004,ANNE ARUNDEL PRECINCT 01-004,ANNE ARUNDEL PRECINCT 01-004,PLST,MD,0,1,24574,3327,3057,1632,991,22,140,0,272,270,250,27,56,23,4,124,2,4,0,4,0,0,3,3,0,0,17
700,2400301-005,7000000US2400301-005,ANNE ARUNDEL PRECINCT 01-005,ANNE ARUNDEL PRECINCT 01-005,PLST,MD,0,1,24575,2640,2377,1100,630,15,342,2,288,263,242,39,26,21,0,113,0,12,1,19,0,0,0,0,10,1,17
700,2400301-006,7000000US2400301-006,ANNE ARUNDEL PRECINCT 01-006,ANNE ARUNDEL PRECINCT 01-006,PLST,MD,0,1,24576,3728,3313,1400,1288,18,394,1,212,415,381,77,56,87,3,108,13,8,3,11,0,0,12,1,2,0,32
700,2400301-007,7000000US2400301-007,ANNE ARUNDEL PRECINCT 01-007,ANNE ARUNDEL PRECINCT 01-007,PLST,MD,0,1,24577,2329,2130,1768,146,12,95,5,104,199,188,25,47,30,2,63,0,0,0,5,1,0,14,1,0,0,11
700,2400301-008,7000000US2400301-008,ANNE ARUNDEL PRECINCT 01-008,ANNE ARUNDEL PRECINCT 01-008,PLST,MD,0,1,24578,3087,2833,2282,282,15,132,3,119,254,243,53,60,18,0,96,4,6,0,3,0,0,3,0,0,0,11
700,2400301-009,7000000US2400301-009,ANNE ARUNDEL PRECINCT 01-009,ANNE ARUNDEL PRECINCT 01-009,PLST,MD,0,1,24579,2737,2522,2025,286,3,139,4,65,215,206,28,23,38,3,100,3,4,0,0,0,0,6,0,1,0,9
700,2400301-010,7000000US2400301-010,ANNE ARUNDEL PRECINCT 01-010,ANNE ARUNDEL PRECINCT 01-010,PLST,MD,0,1,24580,1732,1650,1486,55,3,62,4,40,82,78,12,25,14,0,25,0,0,0,0,0,1,0,1,0,0,4
700,2400301-011,7000000US2400301-011,ANNE ARUNDEL PRECINCT 01-011,ANNE ARUNDEL PRECINCT 01-011,PLST,MD,0,1,24581,1542,1437,1259,76,4,68,0,30,105,98,10,25,13,0,48,0,0,0,1,0,0,1,0,0,0,5
700,2400301-012,7000000US2400301-012,ANNE ARUNDEL PRECINCT 01-012,ANNE ARUNDEL PRECINCT 01-012,PLST,MD,0,1,24582,5805,5268,1884,2412,38,422,10,502,537,484,131,64,19,0,199,28,12,2,13,0,0,15,1,0,0,44
700,2400301-013,7000000US2400301-013,ANNE ARUNDEL PRECINCT 01-013,ANNE ARUNDEL PRECINCT 01-013,PLST,MD,0,1,24583,2001,1779,1118,430,22,49,0,160,222,196,55,25,13,0,81,3,2,0,13,0,0,2,2,0,0,26
700,2400301-014,7000000US2400301-014,ANNE ARUNDEL PRECINCT 01-014,ANNE ARUNDEL PRECINCT 01-014,PLST,MD,0,1,24584,2975,2716,1896,437,23,74,2,284,259,243,47,34,26,0,96,3,10,3,14,0,0,7,2,1,0,16
700,2400301-015,7000000US2400301-015,ANNE ARUNDEL PRECINCT 01-015,ANNE ARUNDEL PRECINCT 01-015,PLST,MD,0,1,24585,3157,2881,1943,596,25,124,1,192,276,253,58,40,27,4,89,4,4,0,15,0,0,3,7,2,0,21
700,2400301-016,7000000US2400301-016,ANNE ARUNDEL PRECINCT 01-016,ANNE ARUNDEL PRECINCT 01-016,PLST,MD,0,1,24586,3740,3313,1964,739,30,157,2,421,427,395,107,47,27,4,168,0,5,0,24,0,0,10,2,1,0,29
700,2400301-017,7000000US2400301-017,ANNE ARUNDEL PRECINCT 01-017,ANNE ARUNDEL PRECINCT 01-017,PLST,MD,0,1,24587,2537,2281,1438,525,10,82,6,220,256,238,87,44,12,1,85,2,2,0,5,0,0,0,0,0,0,18
700,2400301-018,7000000US2400301-018,ANNE ARUNDEL PRECINCT 01-018,ANNE ARUNDEL PRECINCT 01-018,PLST,MD,0,1,24588,4257,3905,2167,1320,6,188,4,220,352,328,80,62,29,0,118,22,5,0,3,0,0,4,1,2,2,20
700,2400301-019,7000000US2400301-019,ANNE ARUNDEL PRECINCT 01-019,ANNE ARUNDEL PRECINCT 01-019,PLST,MD,0,1,24589,3404,3009,1146,1432,12,292,4,123,395,335,42,29,52,3,119,13,25,0,42,0,0,2,8,0,0,54
700,2400301-020,7000000US2400301-020,ANNE ARUNDEL PRECINCT 01-020,ANNE ARUNDEL PRECINCT 01-020,PLST,MD,0,1,24590,3073,2768,1248,962,15,356,10,177,305,271,63,31,45,0,87,16,13,0,15,0,0,0,0,1,0,28
700,2400301-021,7000000US2400301-021,ANNE ARUNDEL PRECINCT 01-021,ANNE ARUNDEL PRECINCT 01-021,PLST,MD,0,1,24591,4260,3848,843,2565,9,306,2,123,412,365,130,17,55,0,96,17,16,1,25,0,0,0,7,1,0,46
700,2400301-022,7000000US2400301-022,ANNE ARUNDEL PRECINCT 01-022,ANNE ARUNDEL PRECINCT 01-022,PLST,MD,0,1,24592,9724,8800,3473,2991,31,1837,11,457,924,812,184,54,154,1,281,24,45,0,50,0,0,3,8,8,0,100
700,2400301-023,7000000US2400301-023,ANNE ARUNDEL PRECINCT 01-023,ANNE ARUNDEL PRECINCT 01-023,PLST,MD,0,1,24593,8053,7641,2185,4711,18,467,7,253,412,363,81,23,62,8,133,10,7,2,25,0,0,5,2,4,1,32
700,2400301-024,7000000US2400301-024,ANNE ARUNDEL PRECINCT 01-024,ANNE ARUNDEL PRECINCT 01-024,PLST,MD,0,1,24594,2215,1973,922,717,26,216,0,92,242,209,34,21,34,0,77,5,17,0,14,0,0,2,1,4,0,31
700,2400301-025,7000000US2400301-025,ANNE ARUNDEL PRECINCT 01-025,ANNE ARUNDEL PRECINCT 01-025,PLST,MD,0,1,24595,2036,1798,1168,338,11,138,0,143,238,210,36,28,31,0,95,4,2,0,12,0,0,1,0,1,0,23
700,2400301-026,7000000US2400301-026,ANNE ARUNDEL PRECINCT 01-026,ANNE ARUNDEL PRECINCT 01-026,PLST,MD,0,1,24596,6724,6115,1187,4117,24,239,4,544,609,530,140,32,36,0,174,45,48,3,42,0,0,4,4,2,0,74
700,2400301-099,7000000US2400301-099,ANNE ARUNDEL PRECINCT 01-099,ANNE ARUNDEL PRECINCT 01-099,PLST,MD,0,1,24597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,2400302-001,7000000US2400302-001,ANNE ARUNDEL PRECINCT 02-001,ANNE ARUNDEL PRECINCT 02-001,PLST,MD,0,1,24598,2519,2293,1590,458,9,151,1,84,226,206,33,36,33,0,80,6,11,0,6,0,0,1,0,0,0,20
700,2400302-002,7000000US2400302-002,ANNE ARUNDEL PRECINCT 02-002,ANNE ARUNDEL PRECINCT 02-002,PLST,MD,0,1,24599,2276,2088,1293,559,14,134,2,86,188,165,39,21,34,2,58,0,3,0,3,0,0,5,0,0,0,14
700,2400302-003,7000000US2400302-003,ANNE ARUNDEL PRECINCT 02-003,ANNE ARUNDEL PRECINCT 02-003,PLST,MD,0,1,24600,3132,2781,1707,446,19,148,12,449,351,318,76,30,36,3,133,6,4,0,24,1,0,4,0,1,0,33
700,2400302-004,7000000US2400302-004,ANNE ARUNDEL PRECINCT 02-004,ANNE ARUNDEL PRECINCT 02-004,PLST,MD,0,1,24601,3151,2880,1749,842,11,196,10,72,271,253,67,37,51,0,83,2,5,0,5,0,0,0,0,3,0,16
700,2400302-005,7000000US2400302-005,ANNE ARUNDEL PRECINCT 02-005,ANNE ARUNDEL PRECINCT 02-005,PLST,MD,0,1,24602,4085,3706,1944,1188,21,144,2,407,379,351,81,43,30,5,145,20,2,0,13,0,0,4,1,7,0,18
700,2400302-006,7000000US2400302-006,ANNE ARUNDEL PRECINCT 02-006,ANNE ARUNDEL PRECINCT 02-006,PLST,MD,0,1,24603,2804,2524,1658,409,17,149,5,286,280,244,59,47,26,2,97,1,4,0,1,1,0,2,0,4,0,33
700,2400302-007,7000000US2400302-007,ANNE ARUNDEL PRECINCT 02-007,ANNE ARUNDEL PRECINCT 02-007,PLST,MD,0,1,24604,4375,4002,2370,1037,31,240,3,321,373,350,89,60,35,2,140,4,7,0,6,1,0,0,5,0,1,20
700,2400302-008,7000000US2400302-008,ANNE ARUNDEL PRECINCT 02-008,ANNE ARUNDEL PRECINCT 02-008,PLST,MD,0,1,24605,3934,3541,2612,482,19,105,5,318,393,379,67,89,42,3,148,5,6,1,8,0,0,5,4,1,0,14
700,2400302-009,7000000US2400302-009,ANNE ARUNDEL PRECINCT 02-009,ANNE ARUNDEL PRECINCT 02-009,PLST,MD,0,1,24606,3938,3639,1555,1321,27,424,0,312,299,265,64,41,44,3,76,14,10,0,8,0,0,3,2,0,0,26
700,2400302-010,7000000US2400302-010,ANNE ARUNDEL PRECINCT 02-010,ANNE ARUNDEL PRECINCT 02-010,PLST,MD,0,1,24607,3412,3129,2484,385,28,65,0,167,283,262,52,64,26,0,82,16,11,0,10,0,0,0,0,0,1,19
700,2400302-011,7000000US2400302-011,ANNE ARUNDEL PRECINCT 02-011,ANNE ARUNDEL PRECINCT 02-011,PLST,MD,0,1,24608,2421,2116,1385,323,26,79,2,301,305,276,44,61,18,0,121,2,5,2,9,0,0,9,1,3,1,25
700,2400302-012,7000000US2400302-012,ANNE ARUNDEL PRECINCT 02-012,ANNE ARUNDEL PRECINCT 02-012,PLST,MD,0,1,24609,2634,2406,1745,275,44,77,2,263,228,214,37,50,14,3,96,5,1,0,5,0,0,2,1,0,0,13
700,2400302-013,7000000US2400302-013,ANNE ARUNDEL PRECINCT 02-013,ANNE ARUNDEL PRECINCT 02-013,PLST,MD,0,1,24610,2480,2294,1738,404,5,76,6,65,186,175,27,47,35,4,48,9,0,0,5,0,0,0,0,0,0,10
700,2400302-014,7000000US2400302-014,ANNE ARUNDEL PRECINCT 02-014,ANNE ARUNDEL PRECINCT 02-014,PLST,MD,0,1,24611,5694,5292,1591,3102,30,165,5,399,402,356,107,29,22,2,99,48,13,2,24,1,0,5,0,4,0,40
700,2400302-015,7000000US2400302-015,ANNE ARUNDEL PRECINCT 02-015,ANNE ARUNDEL PRECINCT 02-015,PLST,MD,0,1,24612,3391,3132,1615,1206,6,173,0,132,259,248,70,32,25,4,72,11,8,2,17,0,0,2,0,4,1,10
700,2400302-016,7000000US2400302-016,ANNE ARUNDEL PRECINCT 02-016,ANNE ARUNDEL PRECINCT 02-016,PLST,MD,0,1,24613,2162,1978,1509,218,7,91,5,148,184,170,28,26,36,2,66,0,2,0,4,1,0,1,4,0,0,10
700,2400302-017,7000000US2400302-017,ANNE ARUNDEL PRECINCT 02-017,ANNE ARUNDEL PRECINCT 02-017,PLST,MD,0,1,24614,5071,4604,1552,2266,23,291,6,466,467,432,136,35,31,7,135,25,9,1,40,3,0,4,3,3,0,24
700,2400302-018,7000000US2400302-018,ANNE ARUNDEL PRECINCT 02-018,ANNE ARUNDEL PRECINCT 02-018,PLST,MD,0,1,24615,2596,2349,1314,759,6,146,1,123,247,215,63,15,17,1,84,3,13,0,17,1,0,0,0,1,0,26
700,2400302-019,7000000US2400302-019,ANNE ARUNDEL PRECINCT 02-019,ANNE ARUNDEL PRECINCT 02-019,PLST,MD,0,1,24616,4458,4058,1829,1399,40,282,2,506,400,375,94,39,33,3,150,17,6,0,23,2,0,4,2,2,0,24
700,2400302-020,7000000US2400302-020,ANNE ARUNDEL PRECINCT 02-020,ANNE ARUNDEL PRECINCT 02-020,PLST,MD,0,1,24617,3083,2854,1874,624,13,227,4,112,229,218,54,52,31,0,57,4,7,0,7,0,0,3,0,2,1,8
700,2400302-021,7000000US2400302-021,ANNE ARUNDEL PRECINCT 02-021,ANNE ARUNDEL PRECINCT 02-021,PLST,MD,0,1,24618,4297,3927,2889,588,19,332,0,99,370,343,62,48,77,2,123,4,14,0,9,0,0,2,1,1,0,21
700,2400302-022,7000000US2400302-022,ANNE ARUNDEL PRECINCT 02-022,ANNE ARUNDEL PRECINCT 02-022,PLST,MD,0,1,24619,3740,3453,2873,366,19,52,2,141,287,270,62,82,19,1,92,3,4,0,4,0,1,1,0,1,0,15
700,2400302-023,7000000US2400302-023,ANNE ARUNDEL PRECINCT 02-023,ANNE ARUNDEL PRECINCT 02-023,PLST,MD,0,1,24620,4068,3595,2333,740,34,287,0,201,473,441,116,71,70,1,137,7,12,1,16,0,0,5,2,3,0,31
700,2400302-024,7000000US2400302-024,ANNE ARUNDEL PRECINCT 02-024,ANNE ARUNDEL PRECINCT 02-024,PLST,MD,0,1,24621,3025,2702,1830,544,23,203,2,100,323,298,46,52,60,4,111,6,9,0,9,0,0,1,0,0,0,25
700,2400303-001,7000000US2400303-001,ANNE ARUNDEL PRECINCT 03-001,ANNE ARUNDEL PRECINCT 03-001,PLST,MD,0,1,24622,2614,2445,2168,178,19,52,0,28,169,160,40,35,27,0,52,3,2,0,0,0,0,0,0,0,1,9
700,2400303-002,7000000US2400303-002,ANNE ARUNDEL PRECINCT 03-002,ANNE ARUNDEL PRECINCT 03-002,PLST,MD,0,1,24623,2042,1918,1813,55,2,32,0,16,124,114,18,16,32,2,38,3,1,0,4,0,0,0,0,0,0,7
700,2400303-003,7000000US2400303-003,ANNE ARUNDEL PRECINCT 03-003,ANNE ARUNDEL PRECINCT 03-003,PLST,MD,0,1,24624,4615,4209,3579,262,21,109,1,237,406,377,89,86,64,1,120,2,1,0,6,1,0,1,0,0,6,27
700,2400303-004,7000000US2400303-004,ANNE ARUNDEL PRECINCT 03-004,ANNE ARUNDEL PRECINCT 03-004,PLST,MD,0,1,24625,4389,3970,3150,504,25,145,1,145,419,396,70,86,60,2,154,0,5,1,10,0,0,2,0,3,3,20
700,2400303-005,7000000US2400303-005,ANNE ARUNDEL PRECINCT 03-005,ANNE ARUNDEL PRECINCT 03-005,PLST,MD,0,1,24626,4598,4197,3307,645,8,169,5,63,401,366,63,61,53,2,160,9,10,0,5,0,0,2,0,1,0,34
700,2400303-006,7000000US2400303-006,ANNE ARUNDEL PRECINCT 03-006,ANNE ARUNDEL PRECINCT 03-006,PLST,MD,0,1,24627,12984,11816,6855,3678,35,831,22,395,1168,1035,274,130,144,6,312,28,43,4,61,1,0,9,11,10,2,117
700,2400303-007,7000000US2400303-007,ANNE ARUNDEL PRECINCT 03-007,ANNE ARUNDEL PRECINCT 03-007,PLST,MD,0,1,24628,3117,2836,2480,235,13,59,4,45,281,268,81,77,38,2,63,1,1,0,4,0,0,1,0,0,0,13
700,2400303-008,7000000US2400303-008,ANNE ARUNDEL PRECINCT 03-008,ANNE ARUNDEL PRECINCT 03-008,PLST,MD,0,1,24629,4174,3814,2448,877,17,162,0,310,360,323,80,68,39,0,110,2,2,1,12,1,0,0,2,3,3,31
700,2400303-009,7000000US2400303-009,ANNE ARUNDEL PRECINCT 03-009,ANNE ARUNDEL PRECINCT 03-009,PLST,MD,0,1,24630,1447,1327,1194,68,6,24,1,34,120,107,19,36,10,0,35,2,3,0,1,1,0,0,0,0,0,11
700,2400303-010,7000000US2400303-010,ANNE ARUNDEL PRECINCT 03-010,ANNE ARUNDEL PRECINCT 03-010,PLST,MD,0,1,24631,2957,2784,2670,43,2,22,0,47,173,163,23,37,27,0,61,0,0,1,2,0,0,6,1,2,3,5
700,2400303-011,7000000US2400303-011,ANNE ARUNDEL PRECINCT 03-011,ANNE ARUNDEL PRECINCT 03-011,PLST,MD,0,1,24632,2717,2567,2497,22,6,35,2,5,150,147,7,63,13,0,63,1,0,0,0,0,0,0,0,0,0,3
700,2400303-012,7000000US2400303-012,ANNE ARUNDEL PRECINCT 03-012,ANNE ARUNDEL PRECINCT 03-012,PLST,MD,0,1,24633,2796,2645,2524,45,10,41,1,24,151,146,15,58,13,3,53,1,2,0,1,0,0,0,0,0,0,5
700,2400303-013,7000000US2400303-013,ANNE ARUNDEL PRECINCT 03-013,ANNE ARUNDEL PRECINCT 03-013,PLST,MD,0,1,24634,2804,2665,2581,26,6,26,1,25,139,132,25,52,17,1,33,0,0,0,1,0,0,0,3,0,0,5
700,2400303-014,7000000US2400303-014,ANNE ARUNDEL PRECINCT 03-014,ANNE ARUNDEL PRECINCT 03-014,PLST,MD,0,1,24635,2337,2173,1992,79,5,37,1,59,164,153,18,50,14,1,60,3,0,0,2,0,0,3,2,0,0,7
700,2400303-015,7000000US2400303-015,ANNE ARUNDEL PRECINCT 03-015,ANNE ARUNDEL PRECINCT 03-015,PLST,MD,0,1,24636,1933,1806,1736,19,3,21,3,24,127,124,10,30,27,1,52,2,0,0,1,0,0,0,0,0,1,2
700,2400303-016,7000000US2400303-016,ANNE ARUNDEL PRECINCT 03-016,ANNE ARUNDEL PRECINCT 03-016,PLST,MD,0,1,24637,3045,2817,2457,173,16,69,0,102,228,212,47,71,16,2,67,5,0,2,0,0,0,1,1,0,0,13
700,2400303-017,7000000US2400303-017,ANNE ARUNDEL PRECINCT 03-017,ANNE ARUNDEL PRECINCT 03-017,PLST,MD,0,1,24638,2602,2442,2332,47,7,28,0,28,160,143,12,50,26,3,48,0,0,2,0,0,0,0,0,2,0,16
