RESIDENTIALZIP5,DEM,LIB,OIN,OTH,REP,UNA,NLM,OBAR,OFR,OGRN,OWCP,OCN,ORE,OCON,OTP,OCS,OBM,ORL,OWO,OAM,OSC,OPOP,OLIR,OID,OSD,OAI,OAL,OPAT,OCO,OWH,OCH,OAS,OAN,ONAS,OPE,OFCH,ONP,ONL,TOTAL,PCT_DEM,PCT_REP,PCT_UNA
20616,4137,19,1,41,659,1128,4,1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6002,68.92702433,10.97967344,18.79373542
20617,311,1,2,6,263,163,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,41.57754011,35.16042781,21.79144385
20618,368,3,3,9,329,153,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,42.44521338,37.94694348,17.64705882
20619,3574,89,8,88,4053,3008,7,0,0,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10843,32.96135756,37.37895416,27.74139998
20620,334,7,1,15,493,326,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,28.37723025,41.88615123,27.69753611
20621,323,0,2,7,442,139,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,35.26200873,48.25327511,15.17467249
20622,1122,21,3,22,1674,811,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3659,30.66411588,45.75020497,22.16452583
20623,2073,6,25,17,152,326,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605,79.57773512,5.834932821,12.51439539
20624,221,4,0,4,478,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,25.69767442,55.58139535,17.6744186
20625,184,4,1,3,302,155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,28.30769231,46.46153846,23.84615385
20626,121,2,1,2,133,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,37.93103448,41.69278997,18.49529781
20628,138,2,0,1,204,101,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,30.80357143,45.53571429,22.54464286
20630,154,4,2,4,263,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,28.89305816,49.34333959,19.88742964
20632,128,2,1,4,176,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,32.56997455,44.78371501,20.86513995
20634,2171,43,9,35,1658,1422,6,1,0,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5357,40.52641404,30.95015867,26.54470786
20636,2116,67,3,66,4215,2006,4,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8492,24.91756948,49.63495054,23.62223269
20637,2318,20,10,35,1714,1180,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5286,43.85168369,32.42527431,22.32311767
20639,3935,78,19,78,5946,2993,14,2,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13083,30.07719942,45.44829168,22.87701597
20640,4424,34,3,59,1493,1599,5,2,0,11,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7641,57.89818087,19.53932731,20.92658029
20645,290,4,0,13,324,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,37.27506427,41.64524422,18.89460154
20646,8030,86,30,113,5722,3918,8,1,0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17937,44.76779841,31.90054078,21.84311758
20650,3607,68,12,80,5641,2792,7,3,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12226,29.50269917,46.1393751,22.83657779
20653,7472,151,16,168,4852,4511,24,2,0,26,21,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17246,43.32598864,28.13406007,26.15678998
20656,67,0,0,1,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,70.52631579,17.89473684,10.52631579
20657,5513,164,24,127,5817,3957,12,5,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15659,35.20659046,37.14796603,25.26981289
20658,371,5,4,7,234,162,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,47.2611465,29.8089172,20.63694268
20659,4591,123,16,143,9372,4237,12,2,0,13,20,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18533,24.77202827,50.56925484,22.86192198
20660,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,71.42857143,28.57142857,0
20662,891,8,2,15,691,450,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,43.16860465,33.47868217,21.80232558
20664,932,16,0,15,920,549,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2441,38.18107333,37.68947153,22.49078247
20667,130,4,0,4,111,78,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,39.51367781,33.73860182,23.70820669
20670,64,3,0,5,97,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,23.7037037,35.92592593,36.66666667
20674,223,7,0,13,272,151,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,33.28358209,40.59701493,22.53731343
20675,690,8,2,14,406,307,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434,48.11715481,28.31241283,21.40864714
20676,1080,24,6,21,1206,646,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2990,36.12040134,40.33444816,21.60535117
20677,934,10,2,18,816,515,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2298,40.64403829,35.50913838,22.41079199
20678,3618,54,17,75,4095,2312,9,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10189,35.50888213,40.19040141,22.6911375
20680,226,4,1,8,327,122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,32.8011611,47.46008708,17.70682148
20684,353,8,1,14,427,207,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,34.84698914,42.15202369,20.43435341
20685,1681,30,12,36,2444,1245,3,0,0,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5463,30.77063884,44.73732381,22.789676
20686,26,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,78.78787879,0,21.21212121
20687,80,1,0,3,107,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,34.18803419,45.72649573,18.37606838
20688,851,10,6,11,985,459,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329,36.53928725,42.29282954,19.7080292
20689,606,10,3,9,590,343,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564,38.74680307,37.72378517,21.93094629
20690,258,6,3,2,318,182,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,33.46303502,41.24513619,23.60570687
20692,180,2,1,4,309,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,29.65403624,50.90609555,18.12191104
20693,329,3,0,6,379,219,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,35.07462687,40.40511727,23.34754797
20695,8536,37,9,74,1443,2270,18,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12409,68.78878234,11.62865662,18.29317431
20701,205,4,1,6,54,138,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,49.8783455,13.13868613,33.57664234
20705,11366,68,151,234,2002,3978,16,3,0,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17855,63.65723887,11.21254551,22.27947354
20706,21325,65,240,348,1744,4907,30,5,0,27,24,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28718,74.25656383,6.072846298,17.08684449
20707,16778,89,165,303,2843,5604,28,3,0,30,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25871,64.85253759,10.98913842,21.66131962
20708,11544,57,149,213,1513,3473,16,5,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17006,67.88192403,8.896859932,20.42220393
20710,3134,15,18,67,236,733,2,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4216,74.33586338,5.59772296,17.38614801
20711,1765,23,9,37,1906,1212,9,2,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4977,35.4631304,38.29616235,24.35201929
20712,3484,18,29,53,216,818,5,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4639,75.10239276,4.6561759,17.63311058
20714,1291,35,6,28,1172,963,6,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512,36.75968109,33.37129841,27.42027335
20715,12140,110,173,209,3888,4461,18,2,0,14,18,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21036,57.71059137,18.48260125,21.20650314
20716,12874,46,87,164,1631,3318,15,1,0,15,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18158,70.89987884,8.982266769,18.27293755
20720,15255,49,144,195,1600,3749,15,4,0,19,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21042,72.49786142,7.603839939,17.81674746
20721,21869,36,188,219,994,3769,23,1,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27131,80.60521175,3.663705724,13.89185802
20722,2591,11,30,55,226,734,4,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,70.7150655,6.168122271,20.03275109
20723,14139,124,28,195,4383,6781,25,3,0,31,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25720,54.97278383,17.04121306,26.36469673
20724,7640,78,14,115,1395,3058,21,0,0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12350,61.86234818,11.29554656,24.7611336
20732,2959,56,11,49,2976,2232,12,1,0,14,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8313,35.59485144,35.79935042,26.84951281
20733,858,13,4,15,936,549,4,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2386,35.9597653,39.22883487,23.00922045
20735,26086,69,236,253,1597,4059,23,1,0,29,28,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32384,80.55212451,4.931447628,12.53396739
20736,2402,46,16,53,3276,1813,2,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7617,31.53472496,43.00905868,23.80202179
20737,6592,38,114,124,766,1992,12,1,0,23,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9673,68.14845446,7.918949654,20.59340432
20740,10425,105,405,201,2307,4615,23,4,0,49,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18148,57.44434648,12.71214459,25.42979943
20742,461,3,3,0,108,287,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,53.29479769,12.48554913,33.17919075
20743,23030,62,263,322,885,3881,31,5,0,30,35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28546,80.67680235,3.100259231,13.59560008
20744,32772,111,339,367,2301,6377,40,6,0,34,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42372,77.34352875,5.430472954,15.05003304
20745,14834,54,158,209,1009,3198,18,3,0,18,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19515,76.01332308,5.170381758,16.38739431
20746,17093,46,142,236,744,3022,23,0,0,24,22,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21355,80.0421447,3.483961601,14.15125263
20747,23577,53,206,330,918,3683,33,4,0,26,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,28859,81.69721751,3.180983402,12.76204997
20748,23048,63,267,256,1026,3789,29,4,0,21,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28532,80.77947568,3.595962428,13.27982616
20751,541,7,4,19,958,454,2,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,27.13139418,48.0441324,22.76830491
20754,1660,29,14,39,2504,1461,4,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5722,29.01083537,43.76092275,25.53303041
20755,1338,57,7,30,755,1321,5,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3520,38.01136364,21.44886364,37.52840909
20758,205,3,1,2,289,138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,32.08137715,45.22691706,21.59624413
20759,2687,18,3,24,1255,1633,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5635,47.68411713,22.2715173,28.97959184
20762,357,13,8,10,166,280,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,42.5,19.76190476,33.33333333
20763,819,12,1,25,304,433,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601,51.1555278,18.98813242,27.0455965
20764,1221,24,7,17,1334,912,2,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3530,34.58923513,37.79036827,25.83569405
20765,187,4,1,2,143,86,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,44,33.64705882,20.23529412
20769,4668,12,67,73,500,981,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6308,74.00126823,7.926442613,15.55168041
20770,12086,50,72,218,1089,3306,17,2,0,33,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16890,71.5571344,6.447602131,19.57371226
20772,35213,106,267,321,2517,6447,43,4,0,31,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44971,78.30157212,5.59694025,14.33590536
20773,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100
20774,35972,77,279,355,1540,6214,30,3,0,23,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44522,80.79601096,3.458964108,13.95714478
20776,912,7,2,10,1227,663,3,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834,32.18066337,43.29569513,23.39449541
20777,1253,13,11,16,941,895,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3132,40.0063857,30.04469987,28.57598978
20778,519,14,2,5,732,395,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671,31.05924596,43.80610413,23.6385398
20779,336,6,4,10,464,310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,29.70822281,41.02564103,27.40937224
20781,5042,28,67,107,659,1423,2,1,0,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7346,68.63599238,8.9708685,19.37108631
20782,13427,70,162,226,1214,3488,20,2,0,34,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18658,71.96376889,6.506592346,18.69439383
20783,10636,64,198,246,1286,3126,22,2,0,23,19,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15628,68.05733299,8.228820067,20.00255951
20784,11900,50,114,244,1027,3062,26,1,0,21,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16460,72.29647631,6.239368165,18.60267315
20785,21302,59,220,342,1257,4135,29,4,0,33,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27408,77.72183304,4.586252189,15.08683596
20794,4389,50,9,84,1577,2125,12,0,0,13,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8269,53.07776031,19.07122989,25.69839158
20812,160,1,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,67.79661017,10.59322034,21.18644068
20814,15881,79,33,128,2984,6291,17,3,0,26,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25452,62.39588245,11.72402955,24.71711457
20815,16929,72,50,97,3255,5465,13,2,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25913,65.33014317,12.56126269,21.08980049
20816,8890,38,19,58,1931,3150,4,2,0,20,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14119,62.96479921,13.67660599,22.31036192
20817,18757,105,37,143,4438,8103,20,2,0,24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31636,59.29004931,14.02832216,25.61322544
20818,1008,2,5,10,160,337,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,65.96858639,10.47120419,22.05497382
20832,10984,81,28,131,4342,5027,15,3,0,19,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20635,53.22994912,21.04191907,24.36152169
20833,3332,31,4,38,1703,1655,7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6774,49.18807204,25.1402421,24.43165043
20837,2367,32,7,40,1562,1640,1,1,0,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5661,41.81240064,27.59229818,28.97014662
20838,113,2,0,1,49,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,55.66502463,24.13793103,18.71921182
20839,72,1,1,0,87,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,32.72727273,39.54545455,26.81818182
20841,3743,31,8,51,1389,2426,6,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7665,48.83235486,18.12133072,31.65035877
20842,627,8,5,8,590,422,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1668,37.58992806,35.37170264,25.29976019
20849,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
20850,21803,152,64,287,5131,10951,41,7,0,59,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38512,56.61352306,13.32312007,28.4352929
20851,5155,50,16,72,1215,2246,6,2,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8783,58.69292952,13.83354207,25.57212797
20852,19404,125,55,211,4189,8809,22,3,0,32,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32869,59.03434847,12.74453132,26.80032858
20853,12102,71,23,134,3976,5573,21,3,0,27,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21942,55.15449822,18.1204995,25.3987786
20854,22484,140,60,221,8010,12111,21,0,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43084,52.18642652,18.59158852,28.11020332
20855,7157,58,19,93,2555,3842,11,1,0,19,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13761,52.00930165,18.56696461,27.9194826
