zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
21211,24510,1917.982624053955,16299,1.07464,0.028410001,1.75551,1.24579,1.6191601,0.01098,1.8973,1.71628,1.25756,1.5923001,1.83067,0.0093599996,-0.077859998,0.041060001,-0.036389999,0.078829996,0.85706002,0.16838001,0.0186
21212,24510,3541.041494369507,33342,0.70994997,0.01537,1.14914,0.79193997,1.3943,0.01427,1.63972,1.51196,0.97780001,1.41555,1.56982,0.19008,-0.068109997,0.26798001,-0.044530001,0.0748,0.70217001,0.082160003,0.01321
21213,24510,9328.440353393557,31701,0.65973997,0.0086700004,0.27015001,0.61690003,1.03395,0.020169999,0.44190001,1.05193,0.66882002,1.00129,0.37134001,0.077629998,-0.050579999,0.27250001,-0.19,0.066490002,0.81976002,0.02813,0.0081200004
21214,24510,2552.336255073547,21177,0.80598998,0.01733,1.40425,0.91724002,1.20287,0.01561,1.63143,1.33868,1.00152,1.24633,1.5190001,0.084150001,-0.074100003,0.075539999,-0.07401,0.07051,0.63207,0.10015,0.01066
21215,24510,12654.03863143921,58448,0.68867999,0.0088299997,0.42730999,0.6322,1.11545,0.01651,0.66632003,1.19593,0.75154001,1.12078,0.61026001,0.15879001,-0.067050003,0.29978999,-0.091859996,0.07192,0.85325998,0.03418,0.01135
21216,24510,8305.490210294724,31409,0.65785998,0.0085300002,0.26664001,0.58701998,1.01851,0.01942,0.40166,1.06916,0.66112,1.0248801,0.34744999,0.11208,-0.04321,0.23259,-0.15601,0.068790004,0.78654999,0.029720001,0.01363
21217,24510,10427.65412569046,34487,0.73163998,0.0096899997,0.21245,0.66780001,1.35894,0.01785,0.5869,1.40923,0.76305997,1.3103499,0.43323001,0.12483,-0.075460002,0.50961,-0.35472,0.070940003,0.80553001,0.059039999,0.02101
21218,24510,8438.009459495544,49271,0.76678002,0.01069,0.76257998,0.8308,1.39742,0.01289,1.34788,1.50977,0.98894,1.3842601,1.1505899,0.15990999,-0.090669997,0.33722001,-0.17147,0.073150001,0.79448998,0.095530003,0.02012
21219,24005,755.000114440918,9427,0.94840997,0.01816,1.4588701,1.12904,1.38968,0.0149,1.60554,1.50253,1.095,1.3074501,1.22817,-0.031090001,-0.14921001,-0.18784,-0.30726001,0.09527,0.9716,0.057399999,0.0093400003
21220,24005,4371.008640289307,40211,0.88089001,0.01102,1.0033799,1.01015,1.30502,0.01224,1.39228,1.42118,1.08157,1.29584,1.18418,0.066040002,-0.096720003,0.15267999,-0.17574,0.081,0.89833999,0.043590002,0.01471
