precinct,name,address,city,zipcode
018-001,Twin Ridge Elementary School,1106 Leafy Hollow Circle,Mount Airy,21771
018-002,Damascus Rd Community Church,12826 Old National Pk,Mount Airy,21771
018-003,Damascus Rd Community Church,12826 Old National Pk,Mount Airy,21771
019-001,Linganore Grange Hall,13629 Unionville Rd,Mount Airy,21771
020-001,Lewistown Elementary School,11119 Hessong Bridge Rd,Thurmont,21788
021-001,Brook Hill United Methodist Church,8946 Indian Springs Rd,Frederick,21702
021-007,Brook Hill United Methodist Church,8946 Indian Springs Rd,Frederick,21702
021-009,Brook Hill United Methodist Church,8946 Indian Springs Rd,Frederick,21702
021-002,Whittier Elementary School,2400 Whittier Dr,Frederick,21702
021-008,Whittier Elementary School,2400 Whittier Dr,Frederick,21702
021-003,Yellow Springs Elementary School,8717 Yellow Springs Rd,Frederick,21702
021-004,Yellow Springs Elementary School,8717 Yellow Springs Rd,Frederick,21702
022-001,Burkittsville Community Center,500 East Main St,Burkittsville,21718
022-002,Burkittsville Community Center,500 East Main St,Burkittsville,21718
023-001,Orchard Grove Elementary School,5898 Hannover Dr,Frederick,21703
023-002,Orchard Grove Elementary School,5898 Hannover Dr,Frederick,21703
023-005,Orchard Grove Elementary School,5898 Hannover Dr,Frederick,21703
024-001,The Church of the Transfiguration,6909 Maryland Av,Braddock Hts.,21714
024-002,People's Baptist Church,6648 Carpenter Rd,Frederick,21703
024-004,People's Baptist Church,6648 Carpenter Rd,Frederick,21703
024-005,People's Baptist Church,6648 Carpenter Rd,Frederick,21703
024-006,People's Baptist Church,6648 Carpenter Rd,Frederick,21703
024-003,Braddock Heights Community Center,4830 Schley Av,Braddock Hts.,21714
025-001,Brunswick Middle School,301 Cummings Dr,Brunswick,21716
026-001,Walkersville Middle School,55 West Frederick St,Walkersville,21793
026-002,Walkersville High School,81 West Frederick St,Walkersville,21793
